sl_id,sl_store,sl_address,sl_address2,sl_city,sl_state,sl_zip,sl_country,sl_tags,sl_description,sl_url,sl_hours,sl_phone,sl_email,sl_image,sl_fax,sl_latitude,sl_longitude,sl_private,sl_neat_title,category
1170,A A A Equipment Repair,5816 Roseville Rd #8,,Sacramento,CA,95842,,heater repair,SOS Service and Installation,http://aaaequ.myhvacshop.com/services/,8-5 monday - saturday,(916) 338-4822,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-5.png,,38.6717571,-121.3682867,,,
1171,AAA Heating and Air Cond.,8830 Balboa Blvd.,,Northridge,CA,91324,,heater repair,Specializing in Your Comfort Since 1968,http://aaaheat.myhvacshop.com/services/,8-5 monday - saturday,(818) 262-2481,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-6.png,,34.231134,-118.501897,,,
1174,AA  Marthedal Co. Inc,1441 N. Thesta St,,Fresno,CA,93703,,heater repair,"Your 911 For Plumbing, Heating & A/C",http://aamart.myhvacshop.com/services/,8-5 monday - saturday,(559) 266-9525,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-7.png,,36.762119,-119.784122,,,
1175,All Air Mechanical,5310 C Scotts Valley Dr,,Scotts Valley,CA,95066,,heater repair,One Call Gets it All Expert Quality Service,http://aamech.myhvacshop.com/services/,8-5 monday - saturday,(831) 438-5254,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-8.png,,37.057505,-122.009966,,,
1178,A and I HVAC,2947 Glen Como Way,,San Jose,CA,95148,,heater repair,Remarkable Service. Remarkable Craftstmen,http://aandihvac.myhvacshop.com/services/,8-5 monday - saturday,(408) 472-1366,,http://www.myhvacshop.com/wp-content/uploads/2012/12/FurnaceRepair1.png,,37.333595,-121.800274,,,
1179,A and A Plumbing,1030 E. El Camino Real Ste# 248,,Sunnyvale,CA,94087,,heater repair,"Your 911 For Plumbing, Heating & A/C",http://aaplumbing.myhvacshop.com/services/,8-5 monday - saturday,(408) 738-8878,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-1.png,,37.3520159,-122.0058944,,,
1182,Aaron's Heating and Air,1220 E. F Street,,Oakdale,CA,95361,,heater repair,Our comfort depends on your comfort,http://aarondixon.myhvacshop.com/services/,8-5 monday - saturday,(209) 847-1051,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-4.png,,37.770523,-120.837508,,,
1183,Aaron's Heating and Air,811 River Avenue,,Oakdale,CA,95361,,heater repair,Don't Delay Call Today,http://aaronhe.myhvacshop.com/services/,8-5 monday - saturday,(209) 450-2713,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-5.png,,37.774429,-120.854869,,,
1184,Aaron Heating  and A/C,113 West First Avenue,,La Habra,CA,90631,,heater repair,Your Comfort is Our Specialty,http://aaronheating.myhvacshop.com/services/,8-5 monday - saturday,(562) 941-0140,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-6.png,,33.9310321,-117.9466736,,,
1185,Aaron's Air,2673 Sirius St,,Thousand Oaks,CA,91360,,heater repair,Where Experts Fix Your Problems,http://aarons.myhvacshop.com/services/,8-5 monday - saturday,(805) 492-1730,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-7.png,,34.216076,-118.875725,,,
1187,ABC Air Conditioning and Heating,8553 Cayuga Avenue,,Sun Valley,CA,91352,,heater repair,When You Need an Expert,http://abcair.myhvacshop.com/services/,8-5 monday - saturday,(805) 636-7734,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-8.png,,34.225198,-118.386915,,,
1188,ABC Cooling and Heating,31845 Hayman Street,,Hayward,CA,94544,,heater repair,SOS Service and Installation,http://abccoo.myhvacshop.com/services/,8-5 monday - saturday,(510) 471-8181,,http://www.myhvacshop.com/wp-content/uploads/2012/12/FurnaceRepair1.png,,37.6076765,-122.0456007,,,
1189,ABC Heating and A/C,2282 Orchard Drive,,Newport Beach,CA,92660,,heater repair,Specializing in Your Comfort Since 1968,http://abcheat.myhvacshop.com/services/,8-5 monday - saturday,(949) 756-0064,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-1.png,,33.6563019,-117.874486,,,
1191,ABCO Heat AC and SheetMetal,37429 Centralmont Place,,Fremont,CA,94536,,heater repair,Furnace Repair Service,http://abcoac.myhvacshop.com/services/,8-5 monday - saturday,(510) 792-4328,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-2.png,,37.5422776,-122.0173924,,,
1192,ABC,5055 Katrina Place,,Palmdale,CA,93552,,heater repair,Local Heating Specialist,http://abcpalmdale.myhvacshop.com/services/,8-5 monday - saturday,(661) 400-9522  Ext. 2000,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-3.png,,34.565105,-118.038842,,,
1194,ABC Plumbing Heating and Air Cond,205 22nd St,,Sacramento,CA,958116,,heater repair,"Your 911 For Plumbing, Heating & A/C",http://abcplu.myhvacshop.com/services/,8-5 monday - saturday,(916) 448-0801,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-4.png,,38.5842351,-121.4735807,,,
1196,AB/JDD Plumbing and Htg,390 S White Rd,,San Jose,CA,95127,,heater repair,One Call Gets it All Expert Quality Service,http://abjdd.myhvacshop.com/services/,8-5 monday - saturday,(408) 251-1820,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-5.png,,37.362691,-121.824574,,,
1197,Able Air Conditioing,630 North Tustin Avenue S 540,,Orange,CA,92867,,heater repair,Remarkable Service. Remarkable Craftstmen,http://ableair.myhvacshop.com/services/,8-5 monday - saturday,(714) 997-0890,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-6.png,,33.7786029,-117.8358481,,,
1199,Abner's A/C and HTG,14163 Oro Grande Street,,Sylmar,CA,91342,,heater repair,"Your 911 For Plumbing, Heating & A/C",http://abners.myhvacshop.com/services/,8-5 monday - saturday,(818) 367-9656,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-7.png,,34.312998,-118.441216,,,
1200,Above All Heating and Air,3561 Oakleaf Drive,,San Jose,CA,95127,,heater repair,Most Respected Name in the Region,http://aboveheating.myhvacshop.com/services/,8-5 monday - saturday,(408) 592-4132,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-8.png,,37.354068,-121.79617,,,
1201,"Conquest Air, Inc.",708 North La Reina Street,,Anaheim,CA,92801,,heater repair,When You Need it Fast and You Need it Expert,http://absolu.myhvacshop.com/services/,8-5 monday - saturday,(714) 412-9591,,http://www.myhvacshop.com/wp-content/uploads/2012/12/FurnaceRepair1.png,,33.840757,-117.979752,,,
1202,Absolute Air Inc.,817 Arnold Drive #8,,Martinez,CA,94553,,heater repair,Our comfort depends on your comfort,http://absoluteair.myhvacshop.com/services/,8-5 monday - saturday,(925) 228-8490,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-1.png,,37.997399,-122.115277,,,
1203,Academy Air Conditioning,6640 Rubio Ave,,Van Nuys,CA,91406,,heater repair,Don't Delay Call Today,http://academ.myhvacshop.com/services/,8-5 monday - saturday,(818) 779-7701,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-2.png,,34.1916,-118.49485,,,
1204,AC by Mark,26853 Palacete Dr,,Valencia,CA,91354,,heater repair,Your Comfort is Our Specialty,http://acbymark.myhvacshop.com/services/,8-5 monday - saturday,(661) 713-4954,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-3.png,,34.4343519,-118.53685,,,
1205,Accurate Air,630 Eubanks Ct. Ste B,,Vacaville,CA,95688,,heater repair,Where Experts Fix Your Problems,http://acc.myhvacshop.com/services/,8-5 monday - saturday,(707) 446-9073,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-4.png,,38.3956114,-121.9618704,,,
1206,AC Care Inc,10404 De Soto Ave,,Chatsworth,CA,91311,,heater repair,When You Need an Expert,http://accare.myhvacshop.com/services/,8-5 monday - saturday,(818) 407-1900,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-5.png,,34.259212,-118.587922,,,
1208,The Air Cond and Htg Co,1328 Blossom Hill Way,,Roseville,CA,95661,,heater repair,SOS Service and Installation,http://accaulfield.myhvacshop.com/services/,8-5 monday - saturday,(916) 789-8413,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-6.png,,38.7424319,-121.2511908,,,
1209,Accel Air,2809 Canyon Falls Drive,,Modesto,CA,95351,,heater repair,Specializing in Your Comfort Since 1968,http://accelair.myhvacshop.com/services/,8-5 monday - saturday,(209) 380-5380,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-7.png,,37.615543,-120.941723,,,
1210,Access Air Inc,39360 3rd Street East Ste.103,,Palmdale,CA,93550,,heater repair,"Your 911 For Plumbing, Heating & A/C",http://access.myhvacshop.com/services/,8-5 monday - saturday,(661) 273-1223,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-8.png,,34.597453,-118.125169,,,
1211,ACCO Engineered Systems,6265 San Fernando Road,,Glendale,CA,91201,,heater repair,One Call Gets it All Expert Quality Service,http://accoen.myhvacshop.com/services/,8-5 monday - saturday,(818) 244-6571,,http://www.myhvacshop.com/wp-content/uploads/2012/12/FurnaceRepair1.png,,34.1629905,-118.2935891,,,
1213,A/C Control Inc,2355 Westwood Blvd #145,,Los Angeles,CA,90064,,heater repair,Remarkable Service. Remarkable Craftstmen,http://accon.myhvacshop.com/services/,8-5 monday - saturday,(310) 909-4814,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-1.png,,34.0412007,-118.4296529,,,
1215,A/C Control Inc.,9610 Rudnick Ave,,Chatsworth,CA,91311,,heater repair,"Your 911 For Plumbing, Heating & A/C",http://accont.myhvacshop.com/services/,8-5 monday - saturday,(818) 232-1506,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-2.png,,34.244781,-118.612238,,,
1216,A.C. Cool,1018 West Collins,,Orange,CA,92867,,heater repair,Most Respected Name in the Region,http://accool.myhvacshop.com/services/,8-5 monday - saturday,(949) 720-3938,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-3.png,,33.8023919,-117.8633233,,,
1217,Accurate Comfort Sys Inc,2750 South Santa Fe Ave,,San Marcos,CA,92069,,heater repair,When You Need it Fast and You Need it Expert,http://accosy.myhvacshop.com/services/,8-5 monday - saturday,(760) 727-4152,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-4.png,,33.1590029,-117.2015673,,,
1218,Accurate Climate Control,8467 Canoga Ave,,Canoga Park,CA,91304,,heater repair,Our comfort depends on your comfort,http://accurate.myhvacshop.com/services/,8-5 monday - saturday,(818) 983-0808,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-5.png,,34.2240574,-118.5976985,,,
1219,AC Dave Heating and Air,16138 Spunky Canyon Road,,Green Valley,CA,91390,,heater repair,Don't Delay Call Today,http://acdave.myhvacshop.com/services/,8-5 monday - saturday,(661) 270-1961,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-6.png,,34.620827,-118.414081,,,
1222,Ace Air Inc.,137 Heron  Way,,Merced,CA,95341,,heater repair,Your Comfort is Our Specialty,http://aceair.myhvacshop.com/services/,8-5 monday - saturday,(209) 722-2200,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-7.png,,37.2847852,-120.5214773,,,
1223,Ace Heating and A/C&#44; Inc.,1754 Leslie St,,San Mateo,CA,94402,,heater repair,Where Experts Fix Your Problems,http://acehea.myhvacshop.com/services/,8-5 monday - saturday,(650) 571-6236,acheating2009@yahoo.com,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-8.png,,37.552802,-122.31033,,,
1225,Air Conditioning Heating and Plumbing Services,2500 East Imperial HWY# 201-374,,Brea,CA,92821,,heater repair,When You Need an Expert,http://achp.myhvacshop.com/services/,8-5 monday - saturday,(714) 993-2247,,http://www.myhvacshop.com/wp-content/uploads/2012/12/FurnaceRepair1.png,,33.9099518,-117.8652861,,,
1226,ACMD,17168 Septo St.,,Northridge,CA,91325,,heater repair,SOS Service and Installation,http://acmd.myhvacshop.com/services/,8-5 monday - saturday,(818) 448-4952,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-1.png,,34.250962,-118.507571,,,
1244,"ACME Environmental, Inc.",12706 Yukon Avenue,,Hawthorne,CA,90250,,heater repair,Specializing in Your Comfort Since 1968,http://acme.myhvacshop.com/services/,8-5 monday - saturday,(310) 679-3700,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-2.png,,33.9172597,-118.3352472,,,
1245,AC and Htg Mechanical Mast,9018 Balboa Blvd,,Northridge,CA,91325,,heater repair,"Your 911 For Plumbing, Heating & A/C",http://acmech.myhvacshop.com/services/,8-5 monday - saturday,(818) 718-1614,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-3.png,,34.2343913,-118.5025291,,,
1248,A/C and Htg Mechanical Mast,9018 Balboa Blvd. #578,, Northridge ,CA,91325,,heater repair,One Call Gets it All Expert Quality Service,http://acmech3.myhvacshop.com/services/,8-5 monday - saturday,(818) 718-1614,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-4.png,,34.2343913,-118.5025291,,,
1249,AC  Norton Heating,21371 Fleet Lane,,Huntington Beach,Ca,92646,,heater repair,Remarkable Service. Remarkable Craftstmen,http://acnorton.myhvacshop.com/services/,8-5 monday - saturday,(949) 355-2473,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-5.png,,33.652049,-117.965862,,,
1253,A/C Quality Distributors,431 West Amador,,Fresno,CA,93706,,heater repair,"Your 911 For Plumbing, Heating & A/C",http://acqual.myhvacshop.com/services/,8-5 monday - saturday,(559) 459-0100,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-6.png,,36.7348481,-119.8170317,,,
1254,A C Perfections Air Cond,8780 19th St #103,,Alta Loma,CA,91701,,heater repair,Most Respected Name in the Region,http://acreng.myhvacshop.com/services/,8-5 monday - saturday,(909) 466-0203,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-7.png,,35.126501,-115.401472,,,
1255,A C S,13224 Community St,,Sun Valley,CA,91352,,heater repair,When You Need it Fast and You Need it Expert,http://acs.myhvacshop.com/services/,8-5 monday - saturday,(818) 535-8975,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-8.png,,34.223033,-118.421178,,,
1259,Air Conditioning System,1073 Elm Street,,San Jose,CA,95126,,heater repair,Our comfort depends on your comfort,http://acsyst.myhvacshop.com/services/,8-5 monday - saturday,(408) 248-7892,,http://www.myhvacshop.com/wp-content/uploads/2012/12/FurnaceRepair1.png,,37.345824,-121.92414,,,
1260,Air Conditioning Systems,5151-C Port Chicago Hwy,,Concord,CA,94520,,heater repair,Don't Delay Call Today,http://acsystems.myhvacshop.com/services/,8-5 monday - saturday,(925) 676-2103,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-1.png,,38.018188,-122.02709,,,
1262,Action Air Control,1772 East Goshen Avenue,,Fresno,CA,93720,,heater repair,Your Comfort is Our Specialty,http://actionair.myhvacshop.com/services/,8-5 monday - saturday,(559) 367-9894,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-2.png,,36.850719,-119.751185,,,
1263,Active Appliance Inc,6736 Van Nuys Blvd,,Van Nuys,CA,91405,,heater repair,Where Experts Fix Your Problems,http://active.myhvacshop.com/services/,8-5 monday - saturday,(818) 778-1999,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-3.png,,34.193297,-118.448207,,,
1264,Active Air,3342 W. Sussex Way,,Fresno,CA,93722,,heater repair,When You Need an Expert,http://activeair.myhvacshop.com/services/,8-5 monday - saturday,(559) 264-3173,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-4.png,,36.7909914,-119.8518589,,,
1267,A/D Air Condit. and Htg Inc,16143 Valerio Street,,Van Nuys,CA,91406,,heater repair,SOS Service and Installation,http://adair.myhvacshop.com/services/,8-5 monday - saturday,(818) 780-8288,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-5.png,,34.2048239,-118.485194,,,
1268,Adam Air Conditioning Inc,1310 N. Pacific Ave,,Glendale,CA,91202,,heater repair,Specializing in Your Comfort Since 1968,http://adamair.myhvacshop.com/services/,8-5 monday - saturday,(818) 438-2522,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-6.png,,34.164761,-118.264829,,,
1270,Advanced Aire Systems Inc,400 Peeble Ave Ste E,,Morgan Hill,CA,95037,,heater repair,"Your 911 For Plumbing, Heating & A/C",http://advair.myhvacshop.com/services/,8-5 monday - saturday,(408) 778-9200,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-7.png,,37.152927,-121.665233,,,
1271,Advanced Air,218 Reindollar Ave Ste 5A,,Marina,CA,93933,,heater repair,One Call Gets it All Expert Quality Service,http://advan.myhvacshop.com/services/,8-5 monday - saturday,(831) 384-1988,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-8.png,,36.680035,-121.8044593,,,
1272,Advanced A/C and Heating Co,605 W Covina Blvd,,San Dimas,CA,91773,,heater repair,Remarkable Service. Remarkable Craftstmen,http://advanc.myhvacshop.com/services/,8-5 monday - saturday,(909) 592-5733,,http://www.myhvacshop.com/wp-content/uploads/2012/12/FurnaceRepair1.png,,34.099788,-117.8165973,,,
1273,Advance Heating and Cooling,457 Shepard Ave,,Hayward,CA,94544,,heater repair,Your 911 For Plumbing&#44; Heating &amp; A/C,http://advance.myhvacshop.com/services/,8-5 monday - saturday,(510) 776-4372,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-1.png,,37.638235,-122.072367,,,
1274,Advanced Heating and Air Conditioning,4721 West Jennifer Suite 18,,Fresno,CA,93722,,heater repair,Most Respected Name in the Region,http://advancedheating.myhvacshop.com/services/,8-5 monday - saturday,(559) 438-0123,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-2.png,,36.811256,-119.878826,,,
1275,Advanced Heating and Air Cond,13161 B- Sherman Way,,North Hollywood,CA,91605,,heater repair,When You Need it Fast and You Need it Expert,http://advancestuart.myhvacshop.com/services/,8-5 monday - saturday,(818) 503-9200,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-3.png,,34.1940808,-118.3644967,,,
1276,Able Air,1751 Christine Ave,,Simi Valley,CA,93063,,heater repair,Our comfort depends on your comfort,http://advant.myhvacshop.com/services/,8-5 monday - saturday,(805) 527-5238,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-4.png,,34.269251,-118.669749,,,
1277,Advantage HVAC,1210 North Andrea Lane,,Anaheim,CA,92807,,heater repair,Don't Delay Call Today,http://advantage.myhvacshop.com/services/,8-5 monday - saturday,(714) 350-8795,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-5.png,,33.87157,-117.766916,,,
1280,Advanced Technology Air S,11024 Balboa Blvd # 625,,Granada Hills,CA,91344,,heater repair,Your Comfort is Our Specialty,http://advtech.myhvacshop.com/services/,8-5 monday - saturday,(818) 363-6410,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-6.png,,34.2713523,-118.5011947,,,
1282,Aero Fresh Heating and A/C,9769 Larch Ave Suite A,,Bloomington,CA,92316,,heater repair,Where Experts Fix Your Problems,http://aerofr.myhvacshop.com/services/,8-5 monday - saturday,(909) 877-6991,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-7.png,,34.076514,-117.391416,,,
1283,Aerotech Heating and A/C,8565 Summer Knoll Way,,Elk Grove,CA,95624,,heater repair,When You Need an Expert,http://aerote.myhvacshop.com/services/,8-5 monday - saturday,(916) 392-7922,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-8.png,,38.440383,-121.386844,,,
1290,AES Air Cond and Heating,1433 Moffet Blvd,,Manteca,CA,95336,,heater repair,SOS Service and Installation,http://aespetresort.myhvacshop.com/services/,8-5 monday - saturday,(209) 823-8500,,http://www.myhvacshop.com/wp-content/uploads/2012/12/FurnaceRepair1.png,,37.781811,-121.191652,,,
1294,Affordable Heating and Air,4055 Reposa Ave,,Santa Cruz,CA,95062,,heater repair,Specializing in Your Comfort Since 1968,http://www.477warm.com/,8-5 monday - saturday,(831) 477-9276,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-1.png,,36.969367,-121.965417,,,
1296,Affordable Plumbing Heating and AIr,10 Via Onagro,,Rancho Santa Margarita,CA,92688,,heater repair,"Your 911 For Plumbing, Heating & A/C",http://affordable.myhvacshop.com/services/,8-5 monday - saturday,(949) 458-3900  Ext. 9494,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-2.png,,33.646339,-117.614999,,,
1297,Affordable AppliancRepair,956 Sawyer Court,,Brentwood,CA,94513,,heater repair,One Call Gets it All Expert Quality Service,http://affordapl.myhvacshop.com/services/,8-5 monday - saturday,(925) 513-1901,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-3.png,,37.93663,-121.683274,,,
1299,AFM HVAC,8616 West Foothill Blvd Suite 103-241,,Rancho Cucamonga,CA,91730,,heater repair,Remarkable Service. Remarkable Craftstmen,http://afmhvac.myhvacshop.com/services/,8-5 monday - saturday,(951) 205-5179,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-4.png,,34.1065792,-117.6151997,,,
1301,A and H Htg and A/C Service,770 Chestnut St,,San Jose,CA,95110,,heater repair,"Your 911 For Plumbing, Heating & A/C",http://ahheat.myhvacshop.com/services/,8-5 monday - saturday,(408) 279-0722,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-5.png,,37.3429687,-121.9134125,,,
1305,Air 4 Seasons,14265 Terra Bella St #20,,Panorama City,CA,91402,,heater repair,Most Respected Name in the Region,http://air4sea.myhvacshop.com/services/,8-5 monday - saturday,(818) 379-6508,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-6.png,,34.240102,-118.44451,,,
1309,Airbest Heating and Air Cond.,19501 Business Center Drive,,Northridge,CA,91324,,heater repair,When You Need it Fast and You Need it Expert,http://airbest.myhvacshop.com/services/,8-5 monday - saturday,(818) 773-8260,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-7.png,,34.23184,-118.558997,,,
1310,"Air-Bree HeatingandA/C, Inc",132 S 5th Ave,,La Puente,CA,91746,,heater repair,Our comfort depends on your comfort,http://airbre.myhvacshop.com/services/,8-5 monday - saturday,(626) 330-7722,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-8.png,,34.038551,-117.981646,,,
1311,Air Breeze Air Cond,6746 Yarmouth Avenue,,Reseda,CA,91335,,heater repair,Don't Delay Call Today,http://airbree.myhvacshop.com/services/,8-5 monday - saturday,(818) 705-3271,,http://www.myhvacshop.com/wp-content/uploads/2012/12/FurnaceRepair1.png,,34.1930106,-118.5196676,,,
1312,"Air Builders, Inc.",2010 West Avenue K #654,,Lancaster,CA,93536,,heater repair,Your Comfort is Our Specialty,http://airbuilders.myhvacshop.com/services/,8-5 monday - saturday,(661) 724-1700,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-1.png,,34.6750835,-118.166166,,,
1313,Aircall,18125 Valley Vista,,Tarzana,CA,91356,,heater repair,Where Experts Fix Your Problems,http://aircal.myhvacshop.com/services/,8-5 monday - saturday,(818) 904-0795,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-2.png,,34.158976,-118.5283275,,,
1315,Airco Commercial Services,5725 Alder Avenue,,Sacramento,CA,95828,,heater repair,When You Need an Expert,http://www.airco-commercial.com/,8-5 monday - saturday,(916) 381-4526,info@airco-commercial.com,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-3.png,,38.5237069,-121.3733768,,,
1316,Air Conditioning Engineering Inc,9637 Arrow Route Unit # D,,Rancho Cucamonga,CA,91730,,heater repair,SOS Service and Installation,http://aircoe.myhvacshop.com/services/,8-5 monday - saturday,(909) 483-0816,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-4.png,,34.098916,-117.5953474,,,
1317,Air Cold Supply,2750 S Towne Ave,,Pomona,CA,91765,,heater repair,Specializing in Your Comfort Since 1968,http://aircold.myhvacshop.com/services/,8-5 monday - saturday,(661) 945-6902,,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-5.png,,34.0242347,-117.7402554,,,
